attribute,type,required,style,units,description,options,alias,example
type,str,TRUE,name,none,battery type,none,none,pb-acid gel cell
id,str,FALSE,name,none,battery id,none,none,battery01
voltage.start,float,TRUE,number,volts,starting voltage,none,none,14.3
voltage.end,float,TRUE,number,volts,end voltage,none,none,12.1
comments,str,FALSE,name,none,any comment about the battery,none,none,this is a comment
